DEPARTAMENTO,RUTA,CÓDIGO DE TRAMO,TRAMO,PR Inicial,PR Final,SECTOR,RED PAVIMENTADA MUY BUENO (KMS),RED PAVIMENTADA BUENO (KMS),RED PAVIMENTADA REGULAR (KMS),RED PAVIMENTADA MALO (KMS),RED PAVIMENTADA MUY MALO (KMS),RED NO PAVIMENTADA MUY BUENO (KMS),RED NO PAVIMENTADA BUENO (KMS),RED NO PAVIMENTADA REGULAR (KMS),RED NO PAVIMENTADA MALO (KMS),RED NO PAVIMENTADA MUY MALO (KMS),TOTAL PAVIMENTO,TOTAL NO PAVIMENTADO,RED EN INTERVENCIÓN,LONGITUD TOTAL CALIFICADA,LONGITUD TOTAL INVENTARIO,CALZADA UNICA,CALZADA IZQUIERDA,CALZADA DERECHA,"DISTANCIA
EFECTIVA"
META,65,65A02,La Uribe - Ye de Granada,0+0000,109+0821,La Uribe - Ye de Granada,4.82,43.38,11.57,0,0.88,2.1,0,24.54,23.81,0,60.65,50.45,,111.1,109.23,111.1,0,0,111.1
META,65,65AMTA,Paso por Puerto Caldas,0+0000,3+0900,Paso por Puerto Caldas,0,1.8,2.3,0,0,0,0,0,0,0,4.1,0,,4.1,3.9,4.1,0,0,4.1
META,65,65AMTB,Accesos al Puente Guillermo León Valencia,0+0000,2+0840,Accesos al Puente Guillermo León Valencia,0,2.84,0,0,0,0,0,0,0,0,2.84,0,,2.84,2.84,2.84,0,0,2.84
META,65,65AMTC,Acceso a Granada,0+0000,1+0300,Acceso a Granada,0,0,1.3,0,0,0,0,0,0,0,1.3,0,,1.3,1.3,1.3,0,0,1.3
META,65,65MTA,Paso por Puerto Lleras,0+0000,14+0000,Paso por Puerto Lleras,0,1.02,0.16,0.04,0,0,0,12.86,0,0,1.22,12.86,,14.08,14,14,0,0,14
META,65,65MTB,Paso por Puerto Limón,0+0000,1+0800,Paso por Puerto Limón,0,0.9,0,0,0,0,0,0,0,0,0.9,0,,0.9,1.8,0.9,0,0,0.9
META,65,65MTC,Paso por Puerto Santander,0+0000,3+0100,Paso por Puerto Santander,0,0,0,0.8,0,0,0,0,0,0,0.8,0,,0.8,3.1,0.8,0,0,0.8
META,65,65MTD,Paso por  Puerto Aljure,0+0000,3+0900,Paso por  Puerto Aljure,0,4.38,0,0,0,0,0,0,0,0,4.38,0,,4.38,3.9,4.38,0,0,4.38
META,65,65MTE,Puente Guatiquía - Los Caballos,0+0000,4+0000,Puente Guatiquía - Los Caballos,0,0.76,1.95,0.92,0,0,0,0,0,0,3.63,0,,3.63,3.8,3.63,0,0,3.63
META,75,7506,Calamar - San José del Guaviare,0+0000,73+0600,Calamar - San José del Guaviare (*),0,11.9,1.14,1.56,0,0,6.03,37.27,17,0,14.59,60.29,,74.88,71.89,72.09,1.4,1.4,73.49
NARIÑO,05,0501,La Espriella - Río Mira - Río Mataje,0+0000,10+0400,La Espriella  - Río Mataje,8.15,0,0,0,0,2.25,0,0,0,0,8.15,2.25,,10.4,10.01,10.4,0,0,10.4
NARIÑO,08,0801,Guachucal - Ipiales,0+0000,24+0000,Guachucal - Ipiales,0,14.84,6.26,2.67,0,0,0,0,0,0,23.77,0,,23.77,23.8,23.77,0,0,23.77
NARIÑO,10,1001,Tumaco - Junín,0+0000,119+0000,Tumaco - Junín,82.96,15.97,13.39,6.94,0,0,0,0,0,0,119.26,0,,119.26,118.36,119.26,0,0,119.26
NARIÑO,10,1002,Junín - Pedregal,0+0000,95+0000,Junín - Túquerres,0,42.86,13.65,37.76,0.38,0,0,0,0,0,94.65,0,,94.65,94.37,94.65,0,0,94.65
NARIÑO,10,1002,Junín - Pedregal,95+0000,127+0600,Túquerres - Pedregal,27.32,3.22,1.95,0,0,0,0,0,0,0,32.49,0,,32.49,32.49,32.49,0,0,32.492
NARIÑO,10,1003,Pasto - El Pepino,5+0000,33+0000,Pasto - La Piscicultura,0,19.25,8.03,0.93,0,0,0,0,0,0,28.21,0,,28.21,28.2,28.2,0,0,28.2
NARIÑO,17,1701,Chiles - Guachucal - El Espino,28+0900,40+0200,Guachucal - El Espino,0,2.52,4.78,4,0,0,0,0,0,0,11.3,0,,11.3,11.3,11.3,0,0,11.3
NARIÑO,17,1702,Túquerres - Samaniego - Sotomayor,0+0000,44+0000,Túquerres - Samaniego,11.79,18.64,7.97,4.97,0,0,0,0,0,0,43.37,0,,43.37,43.37,43.37,0,0,43.369
